Entité,Type d'entité,Fréquence
Lille,LOC,849
CNRS,ORG,740
Paris,LOC,678
IFRESI,ORG,630
France,LOC,490
CLERSE,ORG,352
PR,ORG,337
Europe,LOC,292
Lille 1,ORG,277
Objet,ORG,277
Calais,LOC,249
Allemagne,LOC,243
Pas-de-Calais,LOC,242
USTL,MISC,231
Nord,LOC,224
Etat,LOC,202
Nord-Pas-de-Calais,LOC,195
CR,ORG,186
IFRÉSI,MISC,178
Belgique,LOC,167
F,LOC,166
IFRÉSI,ORG,165
Chercheurs,LOC,156
A,LOC,152
URA,ORG,151
Partenaires,LOC,148
la France,LOC,140
I'IFRÉSI,MISC,137
Harmattan,LOC,130
Lille I,LOC,125
Thierry,PER,108
ATER,ORG,107
Bernard,MISC,105
Didier,MISC,101
du Nord,LOC,101
GADREY,ORG,100
Italie,LOC,100
Rapports,ORG,97
OPÉRATION EN COURS,ORG,92
Michel,MISC,89
Centre,LOC,89
Ifrési,LOC,88
MC,MISC,86
GALLOUJ Faïz,ORG,84
Japon,LOC,83
Rapport,LOC,83
Revue du Nord,MISC,82
Articles,PER,82
AL,LOC,81
Nord-Pas de Calais,LOC,81
Travail,LOC,80
Grande-Bretagne,LOC,79
I'IFRESI,MISC,79
Emmanuel,PER,79
Institut,LOC,78
INSEE,ORG,76
Région,LOC,75
Université de Lille 1,ORG,75
CRAPS,ORG,74
Roubaix,LOC,74
TOTAL,ORG,73
l'Europe,LOC,72
"opération
",MISC,71
Formation,MISC,69
Royaume-Uni,LOC,68
de Lille,LOC,67
Colloque,PER,67
LGH,ORG,64
Thèse,PER,63
Pays-Bas,LOC,63
Frédéric,PER,61
Fédération,ORG,60
Internet,MISC,60
Etats-Unis,LOC,59
Sociologie,LOC,57
Lyon,LOC,57
Espagne,LOC,57
B,LOC,57
Emploi,LOC,56
Canada,LOC,56
Presses,MISC,56
Université de,ORG,56
F.,MISC,56
Bruxelles,LOC,55
Oignies,LOC,54
HERAN,MISC,54
Ifrési,MISC,53
CLERSÉ,MISC,53
Mars,LOC,52
Valenciennes,LOC,52
Londres,LOC,52
Sociales,LOC,51
Université de Lille,ORG,51
AUTÈS,ORG,51
LASTREE,ORG,50
Frank MOULAERT,PER,50
DEMAILLY L.,PER,50
Chercheur,LOC,48
LABORES,MISC,48
Montréal,LOC,48
région Nord-Pas,LOC,47
Union Européenne,ORG,47
Bertrand,PER,47
Universités,LOC,46
État,LOC,46
Novembre,LOC,46
Terres du Nord,LOC,46
Recherche,LOC,46
DES,MISC,45
Conseil,ORG,45
MOULAERT,MISC,45
ITA,ORG,44
OPÉRATION ACHEVÉE,MISC,44
MAHIEU,MISC,44
Alain,PER,44
Hommes,LOC,44
L'Harmattan,MISC,44
2,MISC,44
INSTITUTIONS,ORG,43
Communication,MISC,43
Jean-Pierre,PER,43
PMI,ORG,43
MAHIEU Christian,PER,43
Villes,LOC,42
Université des Sciences et,ORG,42
Société,ORG,42
SHS,ORG,42
Angleterre,LOC,42
Ill,LOC,42
Philippe,MISC,41
Toulouse,LOC,41
Octobre,LOC,41
Chercheur,ORG,41
GADREY,MISC,41
Conseil Régional,ORG,41
CRAPS,MISC,41
XIXe,MISC,41
DELMAS,MISC,40
Marseille,LOC,40
Janvier,PER,40
Grenoble,LOC,40
Prof,LOC,39
H.D.R.,LOC,39
GALLOUJ Faïz,PER,39
IFRESI,MISC,38
ACTIVITÉS,MISC,38
STANKIEWICZ,MISC,38
Etudes,LOC,38
Plan Urbain,ORG,38
Berlin,LOC,38
Communications,ORG,38
CONVERT,LOC,38
Lille 3,ORG,37
LAST-CLERSE,MISC,37
Rennes,LOC,37
Région Nord,LOC,36
GALLOUJ Camai,ORG,36
XVIIIe,MISC,36
Etats,LOC,36
Philippe,PER,36
Lille I,PER,35
Chercheurs d'autres équipes,MISC,35
USA,LOC,35
Grande Bretagne,LOC,35
Colloque,LOC,35
Urbaine,LOC,35
Contribution,ORG,35
La Poste,ORG,35
Mutations,LOC,34
CLAREE,ORG,34
OPÉRATION EN COURS,MISC,34
Région Nord-Pas,LOC,34
Oxford,LOC,34
Séminaire,LOC,34
Christian,MISC,34
CLAREE,MISC,34
